tree_id	source	reporting_label	accessory_lineage	analysis_group	sample_label	recovered
ANCHOR_GCF_965137175.1	anchor	anchor		other		False
LOCAL_Mi24	local	Mycobacterium colombiense		M. colombiense	Mi24	False
PUB_GCF_000661085.1	public	Mycobacterium colombiense		M. colombiense		False
PUB_GCF_001665835.1	public	Mycobacterium colombiense		M. colombiense		False
PUB_GCF_019668465.1	public	Mycobacterium senriense		other		False
PUB_GCF_001667905.1	public	Mycobacterium colombiense		M. colombiense		False
PUB_GCF_001673005.1	public	Mycobacterium colombiense		M. colombiense		False
PUB_GCF_001673175.1	public	Mycobacterium colombiense		M. colombiense		False
PUB_GCF_001673015.1	public	Mycobacterium colombiense		M. colombiense		False
PUB_GCF_001673075.1	public	Mycobacterium colombiense		M. colombiense		False
PUB_GCF_001673085.1	public	Mycobacterium colombiense		M. colombiense		False
PUB_GCF_001673505.1	public	Mycobacterium colombiense		M. colombiense		False
PUB_GCF_001673195.1	public	Mycobacterium colombiense		M. colombiense		False
PUB_GCF_001953985.1	public	Mycobacterium colombiense		M. colombiense		False
PUB_GCF_001954055.1	public	Mycobacterium colombiense		M. colombiense		False
PUB_GCF_001954115.1	public	Mycobacterium colombiense		M. colombiense		False
PUB_GCF_001954075.1	public	Mycobacterium colombiense		M. colombiense		False
PUB_GCF_001672755.1	public	Mycobacterium colombiense		M. colombiense		False
PUB_GCF_054660795.1	public	Mycobacterium sp. MUNTM1		other		False
PUB_GCF_001667695.1	public	Mycobacterium mantenii		other		False
PUB_GCF_001667865.1	public	Mycobacterium mantenii		other		False
PUB_GCF_001667835.1	public	Mycobacterium mantenii		other		False
PUB_GCF_001667995.1	public	Mycobacterium mantenii		other		False
PUB_GCF_002086335.1	public	Mycobacterium mantenii		other		False
PUB_GCF_010731775.1	public	Mycobacterium mantenii		other		False
PUB_GCF_025822645.1	public	Mycobacterium mantenii		other		False
PUB_GCF_002086125.1	public	Mycobacterium arosiense		other		False
PUB_GCF_003284975.1	public	Mycobacterium colombiense		M. colombiense		False
PUB_GCF_003284935.1	public	Mycobacterium colombiense		M. colombiense		False
