tree_id	source	reporting_label	accessory_lineage	analysis_group	sample_label	recovered
ANCHOR_GCF_002219285.1	anchor	anchor		other		False
LOCAL_Ma20	local	Mycobacterium intracellulare MP-MIP genomic lineage	MI_MP_MIP_lineage	MP-MIP	Ma20	False
PUB_GCF_056992155.1	public	Mycobacterium intracellulare	MI_MP_MIP_lineage	MP-MIP		False
PUB_GCF_056992215.1	public	Mycobacterium intracellulare	MI_MP_MIP_lineage	MP-MIP		False
PUB_GCF_056992135.1	public	Mycobacterium intracellulare	MI_MP_MIP_lineage	MP-MIP		False
PUB_GCF_056992335.1	public	Mycobacterium intracellulare	MI_MP_MIP_lineage	MP-MIP		False
PUB_GCF_055794825.1	public	Mycobacterium paraintracellulare	MI_MP_MIP_lineage	MP-MIP		False
LOCAL_Mi3	local	Mycobacterium intracellulare MP-MIP genomic lineage	MI_MP_MIP_lineage	MP-MIP	Mi3	True
PUB_GCF_056991935.1	public	Mycobacterium intracellulare	MI_MP_MIP_lineage	MP-MIP		False
PUB_GCF_056992255.1	public	Mycobacterium intracellulare	MI_MP_MIP_lineage	MP-MIP		False
PUB_GCF_016756295.1	public	Mycobacterium paraintracellulare	MI_MP_MIP_lineage	MP-MIP		False
PUB_GCF_056992355.1	public	Mycobacterium intracellulare	MI_MP_MIP_lineage	MP-MIP		False
LOCAL_Ma49	local	Mycobacterium intracellulare MP-MIP genomic lineage	MI_MP_MIP_lineage	MP-MIP	Ma49	True
LOCAL_Mi42	local	Mycobacterium intracellulare MP-MIP genomic lineage	MI_MP_MIP_lineage	MP-MIP	Mi42	False
PUB_GCF_000276825.1	public	Mycobacterium paraintracellulare	MI_MP_MIP_lineage	MP-MIP		False
PUB_GCF_002104735.1	public	Mycobacterium paraintracellulare	MI_MP_MIP_lineage	MP-MIP		False
PUB_GCF_010731935.1	public	Mycobacterium paraintracellulare	MI_MP_MIP_lineage	MP-MIP		False
PUB_GCF_056992055.1	public	Mycobacterium intracellulare	MI_MP_MIP_lineage	MP-MIP		False
