pair_id	major	minor	minor_percent	technical_windows	median_depth	burden_10_90_mean	burden_10_90_min	burden_10_90_max	burden_20_80_mean	burden_20_80_min	burden_20_80_max	primary_detection_rate	secondary_detection_rate	combined_detection_rate
pairA	Ma20	Mi1	0	3	99.0	183.12502293735147	179.9088307661455	187.04852848729809	20.05440077842185	19.668717098285736	20.63263118111208	0.0	0.0	0.0
pairA	Ma20	Mi1	5	3	98.0	273.8244754031387	264.9565463550541	278.83616177202504	18.704913039573125	16.969377216142814	20.054606379177457	0.0	0.0	0.0
pairA	Ma20	Mi1	10	3	98.0	2342.0196263732228	2328.1443592203523	2357.797450408541	25.454637198166903	23.71935719384963	27.383127558128884	0.0	1.0	1.0
pairA	Ma20	Mi1	20	3	97.0	6676.54952811696	6674.919355009786	6679.741889697573	1963.777832448068	1940.841365531552	1991.3304038701929	1.0	1.0	1.0
pairA	Ma20	Mi1	30	3	95.0	7059.333582289961	7057.415368200858	7062.402134747446	6043.592711063477	6033.094942410665	6052.433595933956	1.0	1.0	1.0
pairA	Ma20	Mi1	50	3	94.0	7276.305999194425	7266.78286316454	7287.373934894443	6929.276174204712	6923.556878468676	6932.555807643427	1.0	1.0	1.0
pairA	Mi1	Ma20	0	3	93.0	187.6505461257812	184.1130935921208	190.48489026406233	24.725023457925744	24.430391265108337	24.960399706281596	0.0	0.0	0.0
pairA	Mi1	Ma20	5	3	93.0	386.0536658718417	384.6960034103929	388.764700165225	24.076722017429972	23.722436166730485	24.43103570064758	0.0	0.0	0.0
pairA	Mi1	Ma20	10	3	92.0	3216.845292306995	3192.4276861662293	3238.8179429876686	55.41400897561965	55.23721373579545	55.76751144119183	0.0	1.0	1.0
pairA	Mi1	Ma20	20	3	91.0	6313.0575489951725	6307.399450866893	6321.223542126765	3113.9458746684854	3087.3908493042704	3150.2286536242855	1.0	1.0	1.0
pairA	Mi1	Ma20	30	3	91.0	6547.239880353004	6541.47434631741	6551.354655531058	5955.261443551852	5941.143877820432	5967.0146067545065	1.0	1.0	1.0
pairA	Mi1	Ma20	50	3	92.0	6711.307801772998	6705.927472319184	6718.881134736497	6414.949679808876	6408.495153327533	6425.369599573744	1.0	1.0	1.0
pairB	Mi2	Mi22	0	3	93.0	166.6092867066041	164.51141311791827	169.13114465925435	22.982728161758516	21.626605382658752	24.029756972280197	0.0	0.0	0.0
pairB	Mi2	Mi22	5	3	92.0	347.64130356285585	342.1549923297021	352.52196468790993	23.660799968924294	22.551544605199165	24.399468091595605	0.0	0.0	0.0
pairB	Mi2	Mi22	10	3	92.0	2994.4745258209296	2988.0448630028104	3001.807295395473	51.3888423016457	46.581336559029275	53.793335985412575	0.0	1.0	1.0
pairB	Mi2	Mi22	20	3	91.0	6191.400651698596	6181.254182518644	6199.769105417519	2851.3743442733908	2842.9614566965524	2866.124585096855	1.0	1.0	1.0
pairB	Mi2	Mi22	30	3	91.0	6395.2542622718765	6394.740889957729	6396.011746297574	5874.384954917095	5873.015520867536	5875.881229662597	1.0	1.0	1.0
