condition_id	pair_id	pair_role	major	minor	minor_percent	total_pairs	seed	design_role	expected_rule	window_policy	strict_recruitment_rate_percent	strict_genome_size_bp	meta_genome_size_bp	strict_contigs	meta_contigs	strict_n50_bp	meta_n50_bp	strict_gc_percent	meta_gc_percent	meta_to_strict_ani	strict_to_meta_ani	meta_to_strict_af	strict_to_meta_af	strict_burden_10_90_per_mbp	meta_burden_10_90_per_mbp	strict_burden_20_80_per_mbp	meta_burden_20_80_per_mbp	frozen_auxiliary_threshold	frozen_primary_threshold	either_route_auxiliary_positive	either_route_primary_positive	combined_positive	prespecified_rule_satisfied	major_source_total_pairs	major_window_start_zero_based	major_maximum_window_pairs	minor_source_total_pairs	minor_window_start_zero_based	minor_maximum_window_pairs	maximum_primary_burden_per_mbp	maximum_auxiliary_burden_per_mbp
pairA__Mi1_major__Ma20_minor__p00__n1000000__s202	pairA	calibration_cross_lineage	Mi1	Ma20	0	1000000	202	depth_sensitivity	combined_negative	nested_prefix_of_seeded_maximum_depth_window	90.2	5237619	5448630	62	49	203858	204177	68.26714581568457	68.04051660692689	99.9678	99.9849	0.9508928571428572	0.9894736842105264	181.71209596852165	175.54938558638017	36.03573211190091	32.30404046016459	952.42	161.8	False	False	False	True	4325321	100602	4000000	4308679	215131	4000000	36.03573211190091	181.71209596852165
pairA__Mi1_major__Ma20_minor__p10__n1000000__s202	pairA	calibration_cross_lineage	Mi1	Ma20	10	1000000	202	depth_sensitivity	auxiliary_or_primary_positive	nested_prefix_of_seeded_maximum_depth_window	90.63	5373781	5396304	124	137	147376	106514	68.18431938331689	67.98868262425542	99.949	99.9665	0.952188940092166	0.9463048498845266	3042.577062772168	2961.2704442842414	242.2152573330621	245.84853397995704	952.42	161.8	True	True	True	True	4325321	100602	4000000	4308679	215131	4000000	245.84853397995704	3042.577062772168
pairA__Mi1_major__Ma20_minor__p20__n1000000__s202	pairA	calibration_cross_lineage	Mi1	Ma20	20	1000000	202	depth_sensitivity	primary_positive	nested_prefix_of_seeded_maximum_depth_window	91.1	5392882	5422538	169	171	112210	67348	68.18031620198624	68.01778060384271	99.9551	99.9397	0.9386218876664736	0.938953488372093	6324.098813034237	6236.464874014425	3367.6470475101723	3335.552886560087	952.42	161.8	True	True	True	True	4325321	100602	4000000	4308679	215131	4000000	3367.6470475101723	6324.098813034237
pairA__Mi1_major__Ma20_minor__p00__n2000000__s202	pairA	calibration_cross_lineage	Mi1	Ma20	0	2000000	202	depth_sensitivity	combined_negative	nested_prefix_of_seeded_maximum_depth_window	90.21	5238780	5456607	60	48	237897	219520	68.26795551636069	68.05604655053956	99.9681	99.9836	0.9476905954368392	0.9883313885647608	196.26297710106016	190.35422551198437	26.372240350483253	26.10889668987334	952.42	161.8	False	False	False	True	4325321	100602	4000000	4308679	215131	4000000	26.372240350483253	196.26297710106016
pairA__Mi1_major__Ma20_minor__p10__n2000000__s202	pairA	calibration_cross_lineage	Mi1	Ma20	10	2000000	202	all_pair_10_percent_and_depth_sensitivity	auxiliary_or_primary_positive	nested_prefix_of_seeded_maximum_depth_window	90.67	5391517	5439159	146	116	118586	115714	68.18107037407097	67.96078217239099	99.9407	99.9699	0.9399092970521542	0.9485251590514748	3500.5950323214215	3402.8794529289844	102.29508096416652	109.07880953474	952.42	161.8	True	False	True	True	4325321	100602	4000000	4308679	215131	4000000	109.07880953474	3500.5950323214215
pairA__Mi1_major__Ma20_minor__p20__n2000000__s202	pairA	calibration_cross_lineage	Mi1	Ma20	20	2000000	202	depth_sensitivity	primary_positive	nested_prefix_of_seeded_maximum_depth_window	91.13	5400251	5701125	194	157	93033	76265	68.18170118388942	67.99582538534061	99.9184	99.9345	0.9094380796508456	0.9655172413793104	6631.9628477951765	6500.794298545058	3291.9580130837503	3240.760302715589	952.42	161.8	True	True	True	True	4325321	100602	4000000	4308679	215131	4000000	3291.9580130837503	6631.9628477951765
pairA__Mi1_major__Ma20_minor__p00__n4000000__s202	pairA	calibration_cross_lineage	Mi1	Ma20	0	4000000	202	depth_sensitivity	combined_negative	nested_prefix_of_seeded_maximum_depth_window	90.22	5237969	5451731	59	43	249052	249074	68.26775798024005	68.04229702455972	99.982	99.9855	0.9504730105731776	0.9924154025670944	181.44650298154804	175.0658749717035	25.020517779560834	27.767801597402553	952.42	161.8	False	False	False	True	4325321	100602	4000000	4308679	215131	4000000	27.767801597402553	181.44650298154804
pairA__Mi1_major__Ma20_minor__p10__n4000000__s202	pairA	calibration_cross_lineage	Mi1	Ma20	10	4000000	202	depth_sensitivity	auxiliary_or_primary_positive	nested_prefix_of_seeded_maximum_depth_window	90.68	5399490	5705633	1045	99	10571	142616	68.17390160922605	67.96890020791733	99.6445	99.9702	0.7018299246501615	0.9866171003717472	3205.8862672776013	3376.3643332675897	104.56870163697548	62.51837407571421	952.42	161.8	True	False	True	True	4325321	100602	4000000	4308679	215131	4000000	104.56870163697548	3376.3643332675897
pairA__Mi1_major__Ma20_minor__p20__n4000000__s202	pairA	calibration_cross_lineage	Mi1	Ma20	20	4000000	202	depth_sensitivity	primary_positive	nested_prefix_of_seeded_maximum_depth_window	91.13	5401030	5391336	171	154	116252	76265	68.17975460236288	67.95745989491287	99.9554	99.9521	0.9398843930635838	0.935072463768116	6608.4179878240175	6506.118342610084	3307.552207059306	3269.324931897584	952.42	161.8	True	True	True	True	4325321	100602	4000000	4308679	215131	4000000	3307.552207059306	6608.4179878240175
pairA__Ma20_major__Mi1_minor__p00__n1000000__s202	pairA	calibration_cross_lineage	Ma20	Mi1	0	1000000	202	depth_sensitivity	combined_negative	nested_prefix_of_seeded_maximum_depth_window	94.8	5040794	5123014	69	41	141563	191115	68.4238237071382	68.31025642326958	99.9661	99.9915	0.9643705463182898	0.9860521528198908	182.7317682762124	178.38405242646465	32.84394527840419	30.41752269098132	952.42	161.8	False	False	False	True	4308679	215131	4000000	4325321	100602	4000000	32.84394527840419	182.7317682762124
