sample_id	block_id	expected_lineage	expected_families	families_detected	all_families_detected	distinct_target_proteins	one_contig	observed_gene_span	frozen_maximum_gene_span	syntenic_block_present	missing_family_ids	target_contigs	external_qc_pass
mv13	MP_MIP_nitrogen_redox_associated_block	MP_MIP	3	0	False	False	False		15	False	LOCAL_Ma20__gene01170;LOCAL_Ma20__gene01177;LOCAL_Ma20__gene01178		True
mv13	MP_MIP_oxidoreductase_associated_block	MP_MIP	5	0	False	False	False		10	False	LOCAL_Ma20__gene02160;LOCAL_Ma20__gene02161;LOCAL_Ma20__gene02162;LOCAL_Ma20__gene02163;LOCAL_Ma20__gene02164		True
mv13	TMI_methyltransferase_hydrolase_cupin_block	TMI	5	5	True	True	True	5.0	10	True		NODE_6_length_393523_cov_132.084515	True
mv13	TMI_aromatic_catabolism_associated_block	TMI	26	26	True	True	True	26.0	35	True		NODE_3_length_459950_cov_135.681945	True
mv17	MP_MIP_nitrogen_redox_associated_block	MP_MIP	3	0	False	False	False		15	False	LOCAL_Ma20__gene01170;LOCAL_Ma20__gene01177;LOCAL_Ma20__gene01178		False
mv17	MP_MIP_oxidoreductase_associated_block	MP_MIP	5	0	False	False	False		10	False	LOCAL_Ma20__gene02160;LOCAL_Ma20__gene02161;LOCAL_Ma20__gene02162;LOCAL_Ma20__gene02163;LOCAL_Ma20__gene02164		False
mv17	TMI_methyltransferase_hydrolase_cupin_block	TMI	5	0	False	False	False		10	False	LOCAL_Mi1__gene00389;LOCAL_Mi1__gene00390;LOCAL_Mi1__gene00391;LOCAL_Mi1__gene00392;LOCAL_Mi1__gene00393		False
mv17	TMI_aromatic_catabolism_associated_block	TMI	26	26	True	True	True	26.0	35	True		NODE_11_length_182499_cov_159.277647	False
mv56	MP_MIP_nitrogen_redox_associated_block	MP_MIP	3	0	False	False	False		15	False	LOCAL_Ma20__gene01170;LOCAL_Ma20__gene01177;LOCAL_Ma20__gene01178		True
mv56	MP_MIP_oxidoreductase_associated_block	MP_MIP	5	0	False	False	False		10	False	LOCAL_Ma20__gene02160;LOCAL_Ma20__gene02161;LOCAL_Ma20__gene02162;LOCAL_Ma20__gene02163;LOCAL_Ma20__gene02164		True
mv56	TMI_methyltransferase_hydrolase_cupin_block	TMI	5	5	True	True	True	5.0	10	True		NODE_5_length_413067_cov_134.719177	True
mv56	TMI_aromatic_catabolism_associated_block	TMI	26	26	True	True	True	26.0	35	True		NODE_4_length_461911_cov_138.181498	True
