block_id	accessory_lineage	structural_context_class	genomes
MP_MIP_nitrogen_redox_associated_block	MI_MP_MIP_lineage	block_and_both_flanks_supported	10
MP_MIP_nitrogen_redox_associated_block	MI_TMI_lineage	partial_or_divergent_context	26
MP_MIP_oxidoreductase_associated_block	MI_MP_MIP_lineage	block_and_both_flanks_supported	10
MP_MIP_oxidoreductase_associated_block	MI_TMI_lineage	both_flanks_supported_block_absent	26
TMI_aromatic_catabolism_associated_block	MI_MP_MIP_lineage	partial_or_divergent_context	10
TMI_aromatic_catabolism_associated_block	MI_TMI_lineage	block_and_both_flanks_supported	14
TMI_aromatic_catabolism_associated_block	MI_TMI_lineage	partial_or_divergent_context	12
TMI_methyltransferase_hydrolase_cupin_block	MI_MP_MIP_lineage	both_flanks_supported_block_absent	8
TMI_methyltransferase_hydrolase_cupin_block	MI_MP_MIP_lineage	partial_or_divergent_context	2
TMI_methyltransferase_hydrolase_cupin_block	MI_TMI_lineage	block_and_both_flanks_supported	22
TMI_methyltransferase_hydrolase_cupin_block	MI_TMI_lineage	both_flanks_supported_block_absent	3
TMI_methyltransferase_hydrolase_cupin_block	MI_TMI_lineage	partial_or_divergent_context	1
