sample_id	cohort_source	broad_analysis_panel	provisional_genomic_lineage	figure_label	manuscript_wording	wording_tier	boundary_note	phylogeny_panel	best_current_public_species	best_current_public_fine_label	best_current_public_ani	public_distinct_species_ani_margin	best_direct_type_broad_group	best_direct_type_fine_label	best_direct_type_ani	type_distinct_broad_group_ani_margin	type_distinct_fine_label_ani_margin	label_status	included_in_updated_21	final_manuscript_wording	nearest_tree_public_accession	nearest_tree_public_reporting_label	nearest_tree_public_fine_label	nearest_tree_public_anchor_proximity_group	tree_context_consistency	lineage_mrca_ultrafast_bootstrap	provisional_analysis_label	best_public_reference	best_public_reporting_species	best_public_ani	best_public_query_af	nearest_distinct_public_species	nearest_distinct_public_reference	nearest_distinct_public_ani	public_distinct_species_ani_margin_ani	best_public_fine_label	best_public_fine_ani	nearest_distinct_public_fine_label	nearest_distinct_public_fine_ani	public_distinct_fine_label_ani_margin	best_type_anchor	best_type_broad_group	best_type_ani	best_type_query_af	nearest_distinct_type_anchor	nearest_distinct_type_broad_group	nearest_distinct_type_ani	type_distinct_broad_group_ani_margin_ani	best_type_fine_anchor	best_type_fine_label	best_type_fine_ani	nearest_distinct_type_fine_anchor	nearest_distinct_type_fine_label	nearest_distinct_type_fine_ani	type_distinct_fine_label_ani_margin_ani	above_95_percent_type_screen	above_96_percent_type_screen
Ma20	directly_retained_original	M_intracellulare_complex	MI_MP_MIP_lineage	MI: MP-MIP	Mycobacterium intracellulare MP-MIP genomic lineage	lineage_wording_required	M. paraintracellulare/M. indicus pranii-associated genomic group; M. paraintracellulare is retained only as a historical boundary label	intracellulare_complex_context	Mycobacterium intracellulare	Mycobacterium intracellulare	99.60770	0.29150	Mycobacterium paraintracellulare	Mycobacterium paraintracellulare	99.24390	0.22600	0.22600	final_analysis_label_after_context_tree_review	true	Mycobacterium intracellulare MP-MIP genomic lineage	GCF_056992155.1	Mycobacterium intracellulare	Mycobacterium intracellulare	Mycobacterium paraintracellulare	context_supported	100.00	Mycobacterium paraintracellulare	GCF_056992215.1	Mycobacterium intracellulare	99.60770	0.97554	Mycobacterium paraintracellulare	GCF_055794825.1	99.31620	0.29150	Mycobacterium intracellulare	99.60770	Mycobacterium paraintracellulare	99.31620	0.29150	GCF_000276825.1	Mycobacterium paraintracellulare	99.24390	0.97088	GCF_000298095.1	Mycobacterium intracellulare	99.01790	0.22600	GCF_000276825.1	Mycobacterium paraintracellulare	99.24390	GCF_000298095.1	Mycobacterium indicus pranii / MTCC 9506 legacy anchor	99.01790	0.22600	true	true
Ma49	rescued_from_mixed_or_failed_original_assembly	M_intracellulare_complex	MI_MP_MIP_lineage	MI: MP-MIP	Mycobacterium intracellulare MP-MIP genomic lineage	lineage_wording_required	M. paraintracellulare/M. indicus pranii-associated genomic group; M. paraintracellulare is retained only as a historical boundary label	intracellulare_complex_context	Mycobacterium paraintracellulare	Mycobacterium paraintracellulare	99.49990	0.00360	Mycobacterium paraintracellulare	Mycobacterium paraintracellulare	99.47770	0.38060	0.38060	final_analysis_label_after_context_tree_review	true	Mycobacterium intracellulare MP-MIP genomic lineage	GCF_010731935.1	Mycobacterium paraintracellulare	Mycobacterium paraintracellulare	Mycobacterium paraintracellulare	context_supported	100.00	Mycobacterium paraintracellulare	GCF_010731935.1	Mycobacterium paraintracellulare	99.49990	0.94231	Mycobacterium intracellulare	GCF_056992195.1	99.49630	0.00360	Mycobacterium paraintracellulare	99.49990	Mycobacterium intracellulare	99.49630	0.00360	GCF_000276825.1	Mycobacterium paraintracellulare	99.47770	0.94118	GCF_000298095.1	Mycobacterium intracellulare	99.09710	0.38060	GCF_000276825.1	Mycobacterium paraintracellulare	99.47770	GCF_000298095.1	Mycobacterium indicus pranii / MTCC 9506 legacy anchor	99.09710	0.38060	true	true
Ma5	rescued_from_mixed_or_failed_original_assembly	M_avium_timonense_boundary	M_avium_hominissuis_adjacent_public_context	M. avium context	Mycobacterium avium public-context group	public_context_supported_anchor_boundary	nearest public genomes are M. avium; hominissuis-adjacent context is descriptive rather than a strict subspecies assignment, and timonense-anchor proximity is retained because the anchor panel does not represent all M. avium subspecies diversity	avium_timonense_context	Mycobacterium avium	Mycobacterium avium subsp. hominissuis	99.67570	0.60530	Mycobacterium timonense	Mycobacterium timonense	99.07340	0.41220	0.41220	final_analysis_label_after_context_tree_review	true	Mycobacterium avium public-context group	GCF_002304065.2	Mycobacterium avium	Mycobacterium avium subsp. hominissuis	Mycobacterium timonense	context_supported	100.00	Mycobacterium timonense	GCF_002304065.2	Mycobacterium avium	99.67570	0.98287	Mycobacterium bouchedurhonense	GCF_042658145.1	99.07040	0.60530	Mycobacterium avium subsp. hominissuis	99.67570	Mycobacterium avium	99.58940	0.08630	GCF_002086775.1	Mycobacterium timonense	99.07340	0.89277	GCF_009741445.1	Mycobacterium avium	98.66120	0.41220	GCF_002086775.1	Mycobacterium timonense	99.07340	GCF_009741445.1	Mycobacterium avium subsp. avium	98.66120	0.41220	true	true
Ma9	directly_retained_original	M_avium_timonense_boundary	M_avium_hominissuis_adjacent_public_context	M. avium context	Mycobacterium avium public-context group	public_context_supported_anchor_boundary	nearest public genomes are M. avium; hominissuis-adjacent context is descriptive rather than a strict subspecies assignment, and timonense-anchor proximity is retained because the anchor panel does not represent all M. avium subspecies diversity	avium_timonense_context	Mycobacterium avium	Mycobacterium avium subsp. hominissuis	99.90330	0.76350	Mycobacterium timonense	Mycobacterium timonense	98.84970	0.10280	0.10280	final_analysis_label_after_context_tree_review	true	Mycobacterium avium public-context group	GCF_001610435.1	Mycobacterium avium	Mycobacterium avium subsp. hominissuis	Mycobacterium timonense	context_supported	100.00	Mycobacterium avium	GCF_001610435.1	Mycobacterium avium	99.90330	0.93276	Mycobacterium sp. MAC_011194_8550	GCF_000523635.1	99.13980	0.76350	Mycobacterium avium subsp. hominissuis	99.90330	Mycobacterium avium	99.65500	0.24830	GCF_002086775.1	Mycobacterium timonense	98.84970	0.84080	GCF_009741445.1	Mycobacterium avium	98.74690	0.10280	GCF_002086775.1	Mycobacterium timonense	98.84970	GCF_009741445.1	Mycobacterium avium subsp. avium	98.74690	0.10280	true	true
Mi1	directly_retained_original	M_intracellulare_complex	MI_TMI_lineage	MI: TMI	typical Mycobacterium intracellulare (TMI) genomic lineage	lineage_wording_preferred	typical-MI public/type context; tree confirmation required	intracellulare_complex_context	Mycobacterium intracellulare	Mycobacterium intracellulare	99.99400	1.05880	Mycobacterium intracellulare	Mycobacterium intracellulare ATCC 13950	99.34300	0.69950	0.58620	final_analysis_label_after_context_tree_review	true	typical Mycobacterium intracellulare (TMI) genomic lineage	GCF_055794935.1	Mycobacterium intracellulare	Mycobacterium intracellulare	Mycobacterium intracellulare	context_supported	100.00	Mycobacterium intracellulare	GCF_016756075.1	Mycobacterium intracellulare	99.99400	0.97100	Mycobacterium paraintracellulare	GCF_055794825.1	98.93520	1.05880	Mycobacterium intracellulare	99.99400	Mycobacterium paraintracellulare	98.93520	1.05880	GCF_000277125.1	Mycobacterium intracellulare	99.34300	0.93716	GCF_000276825.1	Mycobacterium paraintracellulare	98.64350	0.69950	GCF_000277125.1	Mycobacterium intracellulare ATCC 13950	99.34300	GCF_000298095.1	Mycobacterium indicus pranii / MTCC 9506 legacy anchor	98.75680	0.58620	true	true
Mi15	rescued_from_mixed_or_failed_original_assembly	M_intracellulare_complex	MI_MP_MIP_lineage	MI: MP-MIP	Mycobacterium intracellulare MP-MIP genomic lineage	lineage_wording_required	M. paraintracellulare/M. indicus pranii-associated genomic group; M. paraintracellulare is retained only as a historical boundary label	intracellulare_complex_context	Mycobacterium intracellulare	Mycobacterium intracellulare	99.78290	0.23210	Mycobacterium paraintracellulare	Mycobacterium paraintracellulare	99.51650	0.36850	0.36850	final_analysis_label_after_context_tree_review	true	Mycobacterium intracellulare MP-MIP genomic lineage	GCF_056992195.1	Mycobacterium intracellulare	Mycobacterium intracellulare	Mycobacterium paraintracellulare	context_supported	100.00	Mycobacterium paraintracellulare	GCF_056992195.1	Mycobacterium intracellulare	99.78290	0.98247	Mycobacterium paraintracellulare	GCF_016756015.1	99.55080	0.23210	Mycobacterium intracellulare	99.78290	Mycobacterium paraintracellulare	99.55080	0.23210	GCF_000276825.1	Mycobacterium paraintracellulare	99.51650	0.96614	GCF_000298095.1	Mycobacterium intracellulare	99.14800	0.36850	GCF_000276825.1	Mycobacterium paraintracellulare	99.51650	GCF_000298095.1	Mycobacterium indicus pranii / MTCC 9506 legacy anchor	99.14800	0.36850	true	true
Mi18	directly_retained_original	M_avium_timonense_boundary	M_avium_public_group	M. avium context	Mycobacterium avium public-context group	public_context_supported_anchor_boundary	nearest public genomes are M. avium; hominissuis-adjacent context is descriptive rather than a strict subspecies assignment, and timonense-anchor proximity is retained because the anchor panel does not represent all M. avium subspecies diversity	avium_timonense_context	Mycobacterium avium	Mycobacterium avium	99.42590	0.23590	Mycobacterium timonense	Mycobacterium timonense	99.21710	0.41640	0.41640	final_analysis_label_after_context_tree_review	true	Mycobacterium avium public-context group	GCF_020054555.1	Mycobacterium avium	Mycobacterium avium subsp. hominissuis	Mycobacterium timonense	context_supported		Mycobacterium avium	GCF_032907705.1	Mycobacterium avium	99.42590	0.95393	Mycobacterium timonense	GCF_025821985.1	99.19000	0.23590	Mycobacterium avium	99.42590	Mycobacterium avium subsp. hominissuis	99.37390	0.05200	GCF_002086775.1	Mycobacterium timonense	99.21710	0.90136	GCF_009741445.1	Mycobacterium avium	98.80070	0.41640	GCF_002086775.1	Mycobacterium timonense	99.21710	GCF_009741445.1	Mycobacterium avium subsp. avium	98.80070	0.41640	true	true
Mi19	rescued_from_mixed_or_failed_original_assembly	M_intracellulare_complex	MI_MP_MIP_lineage	MI: MP-MIP	Mycobacterium intracellulare MP-MIP genomic lineage	lineage_wording_required	M. paraintracellulare/M. indicus pranii-associated genomic group; M. paraintracellulare is retained only as a historical boundary label	intracellulare_complex_context	Mycobacterium intracellulare	Mycobacterium intracellulare	99.75290	0.29390	Mycobacterium paraintracellulare	Mycobacterium paraintracellulare	99.45900	0.35380	0.35380	final_analysis_label_after_context_tree_review	true	Mycobacterium intracellulare MP-MIP genomic lineage	GCF_056991875.1	Mycobacterium intracellulare	Mycobacterium intracellulare	Mycobacterium paraintracellulare	context_supported	100.00	Mycobacterium paraintracellulare	GCF_056991875.1	Mycobacterium intracellulare	99.75290	0.98356	Mycobacterium paraintracellulare	GCF_000276825.1	99.45900	0.29390	Mycobacterium intracellulare	99.75290	Mycobacterium paraintracellulare	99.45900	0.29390	GCF_000276825.1	Mycobacterium paraintracellulare	99.45900	0.97392	GCF_000298095.1	Mycobacterium intracellulare	99.10520	0.35380	GCF_000276825.1	Mycobacterium paraintracellulare	99.45900	GCF_000298095.1	Mycobacterium indicus pranii / MTCC 9506 legacy anchor	99.10520	0.35380	true	true
Mi2	directly_retained_original	M_intracellulare_complex	MI_TMI_lineage	MI: TMI	typical Mycobacterium intracellulare (TMI) genomic lineage	lineage_wording_preferred	typical-MI public/type context; tree confirmation required	intracellulare_complex_context	Mycobacterium intracellulare	Mycobacterium intracellulare	99.16300	0.18900	Mycobacterium intracellulare	Mycobacterium intracellulare ATCC 13950	99.03030	0.06880	0.06880	final_analysis_label_after_context_tree_review	true	typical Mycobacterium intracellulare (TMI) genomic lineage	GCF_021183765.1	Mycobacterium intracellulare	Mycobacterium intracellulare	Mycobacterium intracellulare	context_supported	100.00	Mycobacterium intracellulare	GCF_020217845.1	Mycobacterium intracellulare	99.16300	0.90173	Mycobacterium paraintracellulare	GCF_010731935.1	98.97400	0.18900	Mycobacterium intracellulare	99.16300	Mycobacterium paraintracellulare	98.97400	0.18900	GCF_000277125.1	Mycobacterium intracellulare	99.03030	0.92797	GCF_000276825.1	Mycobacterium paraintracellulare	98.96150	0.06880	GCF_000277125.1	Mycobacterium intracellulare ATCC 13950	99.03030	GCF_000276825.1	Mycobacterium paraintracellulare	98.96150	0.06880	true	true
Mi22	directly_retained_original	M_intracellulare_complex	MI_MP_MIP_lineage	MI: MP-MIP	Mycobacterium intracellulare MP-MIP genomic lineage	lineage_wording_required	M. paraintracellulare/M. indicus pranii-associated genomic group; M. paraintracellulare is retained only as a historical boundary label	intracellulare_complex_context	Mycobacterium intracellulare	Mycobacterium intracellulare	99.52130	0.02980	Mycobacterium paraintracellulare	Mycobacterium paraintracellulare	99.36890	0.26530	0.26530	final_analysis_label_after_context_tree_review	true	Mycobacterium intracellulare MP-MIP genomic lineage	GCF_016756015.1	Mycobacterium paraintracellulare	Mycobacterium paraintracellulare	Mycobacterium paraintracellulare	context_supported	100.00	Mycobacterium intracellulare	GCF_056992195.1	Mycobacterium intracellulare	99.52130	0.92527	Mycobacterium paraintracellulare	GCF_016756015.1	99.49150	0.02980	Mycobacterium intracellulare	99.52130	Mycobacterium paraintracellulare	99.49150	0.02980	GCF_000276825.1	Mycobacterium paraintracellulare	99.36890	0.92198	GCF_000298095.1	Mycobacterium intracellulare	99.10360	0.26530	GCF_000276825.1	Mycobacterium paraintracellulare	99.36890	GCF_000298095.1	Mycobacterium indicus pranii / MTCC 9506 legacy anchor	99.10360	0.26530	true	true
