block_id	representative_genome	contig	start	end	strand	original_prodigal_id	stable_family	cluster_id	conservative_product
TMI_aromatic_catabolism_associated_block	LOCAL_Mi1	NODE_1_length_668241_cov_57.113662	14731	15975	+	NODE_1_length_668241_cov_57.113662_14	True	LOCAL_Mi1__gene00014	Phthalate 3,4-dioxygenase, ferredoxin reductase subunit
TMI_aromatic_catabolism_associated_block	LOCAL_Mi1	NODE_1_length_668241_cov_57.113662	15983	16768	+	NODE_1_length_668241_cov_57.113662_15	True	LOCAL_Mi1__gene00015	Transcriptional regulator, IclR family, C-terminal domain protein
TMI_aromatic_catabolism_associated_block	LOCAL_Mi1	NODE_1_length_668241_cov_57.113662	16765	17763	+	NODE_1_length_668241_cov_57.113662_16	True	LOCAL_Mi1__gene00016	4,5-dihydroxyphthalate decarboxylase
TMI_aromatic_catabolism_associated_block	LOCAL_Mi1	NODE_1_length_668241_cov_57.113662	17785	18765	-	NODE_1_length_668241_cov_57.113662_17	True	LOCAL_Mi1__gene00017	2-amino-3-carboxymuconate-6-semialdehyde decarboxylase
TMI_aromatic_catabolism_associated_block	LOCAL_Mi1	NODE_1_length_668241_cov_57.113662	18794	19369	-	NODE_1_length_668241_cov_57.113662_18	True	LOCAL_Mi1__gene00018	HTH marR-type domain-containing protein
TMI_aromatic_catabolism_associated_block	LOCAL_Mi1	NODE_1_length_668241_cov_57.113662	19470	20963	-	NODE_1_length_668241_cov_57.113662_19	True	LOCAL_Mi1__gene00019	Putative succinate-semialdehyde dehydrogenase [NADP(+)] 2
TMI_aromatic_catabolism_associated_block	LOCAL_Mi1	NODE_1_length_668241_cov_57.113662	21318	22244	+	NODE_1_length_668241_cov_57.113662_20	True	LOCAL_Mi1__gene00020	2,3-dihydroxy-p-cumate/2,3-dihydroxybenzoate 3,4-dioxygenase
TMI_aromatic_catabolism_associated_block	LOCAL_Mi1	NODE_1_length_668241_cov_57.113662	22244	23038	+	NODE_1_length_668241_cov_57.113662_21	True	LOCAL_Mi1__gene00021	2-keto-4-pentenoate hydratase
TMI_aromatic_catabolism_associated_block	LOCAL_Mi1	NODE_1_length_668241_cov_57.113662	23035	23820	+	NODE_1_length_668241_cov_57.113662_22	True	LOCAL_Mi1__gene00022	4-oxalocrotonate decarboxylase
TMI_aromatic_catabolism_associated_block	LOCAL_Mi1	NODE_1_length_668241_cov_57.113662	23825	24022	+	NODE_1_length_668241_cov_57.113662_23	True	LOCAL_Mi1__gene00023	Tautomerase
TMI_aromatic_catabolism_associated_block	LOCAL_Mi1	NODE_1_length_668241_cov_57.113662	24025	25473	+	NODE_1_length_668241_cov_57.113662_24	True	LOCAL_Mi1__gene00024	Aminomuconate-semialdehyde/2-hydroxymuconate-6-semialdehyde dehydrogenase
TMI_aromatic_catabolism_associated_block	LOCAL_Mi1	NODE_1_length_668241_cov_57.113662	25810	26775	-	NODE_1_length_668241_cov_57.113662_25	True	LOCAL_Mi1__gene00025	Aldolase
TMI_aromatic_catabolism_associated_block	LOCAL_Mi1	NODE_1_length_668241_cov_57.113662	26778	27890	-	NODE_1_length_668241_cov_57.113662_26	True	LOCAL_Mi1__gene00026	Cupin type-2 domain-containing protein
TMI_aromatic_catabolism_associated_block	LOCAL_Mi1	NODE_1_length_668241_cov_57.113662	28259	28837	+	NODE_1_length_668241_cov_57.113662_27	True	LOCAL_Mi1__gene00027	HTH tetR-type domain-containing protein
TMI_aromatic_catabolism_associated_block	LOCAL_Mi1	NODE_1_length_668241_cov_57.113662	28867	29091	-	NODE_1_length_668241_cov_57.113662_28	True	LOCAL_Mi1__gene00028	hypothetical protein
TMI_aromatic_catabolism_associated_block	LOCAL_Mi1	NODE_1_length_668241_cov_57.113662	29569	29796	+	NODE_1_length_668241_cov_57.113662_29	True	LOCAL_Mi1__gene00029	hypothetical protein
TMI_aromatic_catabolism_associated_block	LOCAL_Mi1	NODE_1_length_668241_cov_57.113662	29909	31090	+	NODE_1_length_668241_cov_57.113662_30	True	LOCAL_Mi1__gene00030	Flavin-dependent monooxygenase
TMI_aromatic_catabolism_associated_block	LOCAL_Mi1	NODE_1_length_668241_cov_57.113662	31110	31556	+	NODE_1_length_668241_cov_57.113662_31	True	LOCAL_Mi1__gene00031	SnoaL-like domain-containing protein
TMI_aromatic_catabolism_associated_block	LOCAL_Mi1	NODE_1_length_668241_cov_57.113662	31583	31990	+	NODE_1_length_668241_cov_57.113662_32	True	LOCAL_Mi1__gene00032	SnoaL-like domain-containing protein
TMI_aromatic_catabolism_associated_block	LOCAL_Mi1	NODE_1_length_668241_cov_57.113662	32028	32606	+	NODE_1_length_668241_cov_57.113662_33	True	LOCAL_Mi1__gene00033	VOC domain-containing protein
TMI_aromatic_catabolism_associated_block	LOCAL_Mi1	NODE_1_length_668241_cov_57.113662	32606	33424	+	NODE_1_length_668241_cov_57.113662_34	True	LOCAL_Mi1__gene00034	Short-chain dehydrogenase
TMI_aromatic_catabolism_associated_block	LOCAL_Mi1	NODE_1_length_668241_cov_57.113662	33444	34850	+	NODE_1_length_668241_cov_57.113662_35	True	LOCAL_Mi1__gene00035	Rieske domain-containing protein
TMI_aromatic_catabolism_associated_block	LOCAL_Mi1	NODE_1_length_668241_cov_57.113662	34898	35443	+	NODE_1_length_668241_cov_57.113662_36	True	LOCAL_Mi1__gene00036	Aromatic-ring-hydroxylating dioxygenase subunit beta
TMI_aromatic_catabolism_associated_block	LOCAL_Mi1	NODE_1_length_668241_cov_57.113662	35565	36119	+	NODE_1_length_668241_cov_57.113662_37	True	LOCAL_Mi1__gene00037	Lipid/polyisoprenoid-binding YceI-like domain-containing protein
TMI_aromatic_catabolism_associated_block	LOCAL_Mi1	NODE_1_length_668241_cov_57.113662	36335	36958	+	NODE_1_length_668241_cov_57.113662_38	True	LOCAL_Mi1__gene00038	hypothetical protein
TMI_aromatic_catabolism_associated_block	LOCAL_Mi1	NODE_1_length_668241_cov_57.113662	36963	37565	-	NODE_1_length_668241_cov_57.113662_39	True	LOCAL_Mi1__gene00039	Putative HTH-type transcriptional regulator
TMI_methyltransferase_hydrolase_cupin_block	LOCAL_Mi1	NODE_1_length_668241_cov_57.113662	453263	453964	+	NODE_1_length_668241_cov_57.113662_389	True	LOCAL_Mi1__gene00389	hypothetical protein
TMI_methyltransferase_hydrolase_cupin_block	LOCAL_Mi1	NODE_1_length_668241_cov_57.113662	454212	454874	+	NODE_1_length_668241_cov_57.113662_390	True	LOCAL_Mi1__gene00390	Methyltransferase
TMI_methyltransferase_hydrolase_cupin_block	LOCAL_Mi1	NODE_1_length_668241_cov_57.113662	455053	455760	+	NODE_1_length_668241_cov_57.113662_391	True	LOCAL_Mi1__gene00391	AB hydrolase-1 domain-containing protein
TMI_methyltransferase_hydrolase_cupin_block	LOCAL_Mi1	NODE_1_length_668241_cov_57.113662	455836	457260	+	NODE_1_length_668241_cov_57.113662_392	True	LOCAL_Mi1__gene00392	FAD-binding domain-containing protein
