sample_id	run_accession	biosample_accession	published_species	frozen_expected_lineage	selection_rule	read1_url	read2_url	read1_md5	read2_md5	read1_bytes	read2_bytes	study_doi	principal_lineage_by_anchor_ani	principal_lineage_anchor_max_ani	principal_lineage_qualified	external_qc_pass	qc_failure_reasons
mv13	SRR24904290	SAMN35721482	Mycobacterium intracellulare	TMI	all_published_exact_M_intracellulare_or_M_paraintracellulare	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/090/SRR24904290/SRR24904290_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/090/SRR24904290/SRR24904290_2.fastq.gz	71cc134fd1c2cdbf46b70b9ef60dfd67	63add2a6042900bd5d6322d1bb39c349	352293276	358162509	10.1128/spectrum.01600-24	TMI	99.3848	True	True	
mv17	SRR24904182	SAMN35721486	Mycobacterium intracellulare	TMI	all_published_exact_M_intracellulare_or_M_paraintracellulare	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/082/SRR24904182/SRR24904182_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/082/SRR24904182/SRR24904182_2.fastq.gz	e23c705b163dec914bec030d84f63210	92421541b2940f8730ba240e1c2c0baf	394079801	402720040	10.1128/spectrum.01600-24	TMI	99.1781	True	False	contigs_le_500
mv56	SRR24904128	SAMN35721523	Mycobacterium intracellulare	TMI	all_published_exact_M_intracellulare_or_M_paraintracellulare	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/028/SRR24904128/SRR24904128_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/028/SRR24904128/SRR24904128_2.fastq.gz	6d96dd3f82c2d8723c3118878064d253	af33a05ddbdfe2f7e83cd2723a4d99a6	380549080	392005299	10.1128/spectrum.01600-24	TMI	99.997	True	True	
mv8	SRR24904206	SAMN35721477	Mycobacterium paraintracellulare	MP_MIP	all_published_exact_M_intracellulare_or_M_paraintracellulare	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/006/SRR24904206/SRR24904206_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/006/SRR24904206/SRR24904206_2.fastq.gz	c6f95c0af2e856aa634b04dfe2d16cee	6dec8330a0a869be6fed6ba8bf19773c	366472972	375064877	10.1128/spectrum.01600-24	outside_principal_TMI_MP_MIP_comparison	95.9814	False	True	
mv51	SRR24904134	SAMN35721518	Mycobacterium paraintracellulare	MP_MIP	all_published_exact_M_intracellulare_or_M_paraintracellulare	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/034/SRR24904134/SRR24904134_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/034/SRR24904134/SRR24904134_2.fastq.gz	5be6f52410f53e1de9061c32f5ba6f85	7df1b96d6751a7a65384c91abbcc9b7e	320864444	329091325	10.1128/spectrum.01600-24	MP_MIP	99.3334	True	True	
mv67	SRR24904212	SAMN35721534	Mycobacterium paraintracellulare	MP_MIP	all_published_exact_M_intracellulare_or_M_paraintracellulare	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/012/SRR24904212/SRR24904212_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/012/SRR24904212/SRR24904212_2.fastq.gz	6d7233b7138a465bfa4b4cfc6da6b93e	54908012d31610257636ee14f15f0e1e	351346984	355352832	10.1128/spectrum.01600-24	outside_principal_TMI_MP_MIP_comparison	87.391	False	True	
mv71	SRR24904209	SAMN35721537	Mycobacterium paraintracellulare	MP_MIP	all_published_exact_M_intracellulare_or_M_paraintracellulare	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/009/SRR24904209/SRR24904209_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/009/SRR24904209/SRR24904209_2.fastq.gz	3b471550dded379d39e59d0032f34642	a8345989ddaf458374d36edca4a577b6	359769040	365791041	10.1128/spectrum.01600-24	MP_MIP	99.4351	True	True	
mv65	SRR24904214	SAMN35721532	Mycobacterium paraintracellulare	MP_MIP	all_published_exact_M_intracellulare_or_M_paraintracellulare	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/014/SRR24904214/SRR24904214_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/014/SRR24904214/SRR24904214_2.fastq.gz	8b30e2780ef934b838e5e4427c57492a	d4b0b71914f2896164ae1b0b9254fb9e	367999696	371400838	10.1128/spectrum.01600-24	outside_principal_TMI_MP_MIP_comparison	87.3804	False	True	
mv91	SRR24904187	SAMN35721557	Mycobacterium paraintracellulare	MP_MIP	all_published_exact_M_intracellulare_or_M_paraintracellulare	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/087/SRR24904187/SRR24904187_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/087/SRR24904187/SRR24904187_2.fastq.gz	b5336effc6be2196b2f324e2eddda87d	f7f2a3dd84698055a44caee2ac25517a	362031189	372037133	10.1128/spectrum.01600-24	outside_principal_TMI_MP_MIP_comparison	87.4091	False	True	
