pair_id	samples	ani_mean	ani_min	ani_max
pairA	Mi1 / Ma20	98.91705	98.917	98.9171
pairB	Mi2 / Mi22	98.93594999999999	98.9192	98.9527
pairC	Mi23 / Mi8	99.45060000000001	99.4445	99.4567
pairD	Mi25 / Mi4	99.488	99.4846	99.4914
