tree_id	source	sample_id	accessory_lineage	TMI_aromatic_catabolism_associated_block	TMI_methyltransferase_hydrolase_cupin_block	MP_MIP_nitrogen_redox_associated_block	MP_MIP_oxidoreductase_associated_block
LOCAL_Mi2	local	Mi2	MI_TMI_lineage	0	1	0	0
PUB_GCF_021183765.1	public		MI_TMI_lineage	0	1	0	0
PUB_GCF_020217705.1	public		MI_TMI_lineage	0	1	0	0
PUB_GCF_020217845.1	public		MI_TMI_lineage	0	0	0	0
PUB_GCF_020217815.1	public		MI_TMI_lineage	0	0	0	0
PUB_GCF_900960235.1	public		MI_TMI_lineage	1	0	0	0
PUB_GCF_055794925.1	public		MI_TMI_lineage	1	0	0	0
LOCAL_Mi30	local	Mi30	MI_TMI_lineage	1	0	0	0
PUB_GCF_020217585.1	public		MI_TMI_lineage	1	1	0	0
PUB_GCF_002292525.1	public		MI_TMI_lineage	1	1	0	0
PUB_GCF_002285675.1	public		MI_TMI_lineage	1	1	0	0
LOCAL_Mi31	local	Mi31	MI_TMI_lineage	0	1	0	0
PUB_GCF_000309055.1	public		MI_TMI_lineage	1	1	0	0
PUB_GCF_016755915.1	public		MI_TMI_lineage	1	1	0	0
PUB_GCF_030341965.1	public		MI_TMI_lineage	1	1	0	0
PUB_GCF_016587675.1	public		MI_TMI_lineage	1	1	0	0
PUB_GCF_000277145.1	public		MI_TMI_lineage	1	1	0	0
PUB_GCF_056992075.1	public		MI_TMI_lineage	1	1	0	0
PUB_GCF_016587615.1	public		MI_TMI_lineage	1	1	0	0
PUB_GCF_000277125.1	public		MI_TMI_lineage	1	1	0	0
PUB_GCF_016587575.1	public		MI_TMI_lineage	1	1	0	0
PUB_GCF_020217955.1	public		MI_TMI_lineage	1	1	0	0
PUB_GCF_020217905.1	public		MI_TMI_lineage	1	1	0	0
LOCAL_Mi1	local	Mi1	MI_TMI_lineage	1	1	0	0
PUB_GCF_016587695.1	public		MI_TMI_lineage	1	1	0	0
PUB_GCF_055794935.1	public		MI_TMI_lineage	1	1	0	0
PUB_GCF_016756075.1	public		MI_TMI_lineage	1	1	0	0
PUB_GCF_023278485.2	public		MI_TMI_lineage	1	1	0	0
PUB_GCF_021183745.1	public		MI_TMI_lineage	1	1	0	0
PUB_GCF_056991975.1	public		MI_TMI_lineage	1	1	0	0
PUB_GCF_056992315.1	public		MI_TMI_lineage	1	1	0	0
PUB_GCF_056992275.1	public		MI_TMI_lineage	1	1	0	0
PUB_GCF_016755995.1	public		MI_TMI_lineage	1	1	0	0
PUB_GCF_023278525.2	public		MI_TMI_lineage	1	1	0	0
PUB_GCF_021183785.1	public		MI_TMI_lineage	1	1	0	0
PUB_GCF_000172115.1	public		MI_TMI_lineage	1	1	0	0
PUB_GCF_056992355.1	public		MI_MP_MIP_lineage	0	0	1	1
PUB_GCF_016756295.1	public		MI_MP_MIP_lineage	0	0	1	1
PUB_GCF_055794825.1	public		MI_MP_MIP_lineage	0	0	1	1
LOCAL_Ma20	local	Ma20	MI_MP_MIP_lineage	0	0	1	1
PUB_GCF_056992215.1	public		MI_MP_MIP_lineage	0	0	1	1
PUB_GCF_056992155.1	public		MI_MP_MIP_lineage	0	0	1	1
PUB_GCF_056992335.1	public		MI_MP_MIP_lineage	0	0	1	1
PUB_GCF_056992135.1	public		MI_MP_MIP_lineage	0	0	1	1
LOCAL_Mi3	local	Mi3	MI_MP_MIP_lineage	0	0	1	1
PUB_GCF_056992255.1	public		MI_MP_MIP_lineage	0	0	1	1
PUB_GCF_056991935.1	public		MI_MP_MIP_lineage	0	0	1	1
PUB_GCF_016755955.1	public		MI_MP_MIP_lineage	0	0	1	1
PUB_GCF_056991995.1	public		MI_MP_MIP_lineage	0	0	1	1
PUB_GCF_056992035.1	public		MI_MP_MIP_lineage	0	0	1	1
PUB_GCF_056992015.1	public		MI_MP_MIP_lineage	0	0	1	1
PUB_GCF_056992115.1	public		MI_MP_MIP_lineage	0	0	1	1
LOCAL_Mi4	local	Mi4	MI_MP_MIP_lineage	0	0	1	1
PUB_GCF_056991875.1	public		MI_MP_MIP_lineage	0	0	1	1
LOCAL_Mi19	local	Mi19	MI_MP_MIP_lineage	0	0	1	1
LOCAL_Mi42	local	Mi42	MI_MP_MIP_lineage	0	0	1	1
LOCAL_Ma49	local	Ma49	MI_MP_MIP_lineage	0	0	1	1
PUB_GCF_040970175.1	public		MI_MP_MIP_lineage	0	0	1	1
PUB_GCF_016756035.1	public		MI_MP_MIP_lineage	0	0	1	1
PUB_GCF_056992055.1	public		MI_MP_MIP_lineage	0	0	1	1
PUB_GCF_000276825.1	public		MI_MP_MIP_lineage	0	0	1	1
PUB_GCF_010731935.1	public		MI_MP_MIP_lineage	0	0	1	1
PUB_GCF_002104735.1	public		MI_MP_MIP_lineage	0	0	1	1
LOCAL_Mi25	local	Mi25	MI_MP_MIP_lineage	0	0	1	1
LOCAL_Mi22	local	Mi22	MI_MP_MIP_lineage	0	0	1	1
PUB_GCF_016756015.1	public		MI_MP_MIP_lineage	0	0	1	1
PUB_GCF_016587755.1	public		MI_MP_MIP_lineage	0	0	1	1
PUB_GCF_016756275.1	public		MI_MP_MIP_lineage	0	0	1	1
LOCAL_Mi8	local	Mi8	MI_MP_MIP_lineage	0	0	1	1
PUB_GCF_056991915.1	public		MI_MP_MIP_lineage	0	0	1	1
LOCAL_Mi23	local	Mi23	MI_MP_MIP_lineage	0	0	1	1
PUB_GCF_056991895.1	public		MI_MP_MIP_lineage	0	0	1	1
PUB_GCF_040960825.1	public		MI_MP_MIP_lineage	0	0	1	1
PUB_GCF_056992195.1	public		MI_MP_MIP_lineage	0	0	1	1
LOCAL_Mi15	local	Mi15	MI_MP_MIP_lineage	0	0	1	1
