sample_id	cohort_source	broad_analysis_panel	provisional_genomic_lineage	figure_label	manuscript_wording	wording_tier	boundary_note	phylogeny_panel	best_current_public_species	best_current_public_fine_label	best_current_public_ani	public_distinct_species_ani_margin	best_direct_type_broad_group	best_direct_type_fine_label	best_direct_type_ani	type_distinct_broad_group_ani_margin	type_distinct_fine_label_ani_margin	label_status	included_in_updated_21	final_manuscript_wording	nearest_tree_public_accession	nearest_tree_public_reporting_label	nearest_tree_public_fine_label	nearest_tree_public_anchor_proximity_group	tree_context_consistency	lineage_mrca_ultrafast_bootstrap
Ma20	directly_retained_original	M_intracellulare_complex	MI_MP_MIP_lineage	MI: MP-MIP	Mycobacterium intracellulare MP-MIP genomic lineage	lineage_wording_required	M. paraintracellulare/M. indicus pranii-associated genomic group; M. paraintracellulare is retained only as a historical boundary label	intracellulare_complex_context	Mycobacterium intracellulare	Mycobacterium intracellulare	99.60770	0.29150	Mycobacterium paraintracellulare	Mycobacterium paraintracellulare	99.24390	0.22600	0.22600	final_analysis_label_after_context_tree_review	true	Mycobacterium intracellulare MP-MIP genomic lineage	GCF_056992155.1	Mycobacterium intracellulare	Mycobacterium intracellulare	Mycobacterium paraintracellulare	context_supported	100.00
Ma49	rescued_from_mixed_or_failed_original_assembly	M_intracellulare_complex	MI_MP_MIP_lineage	MI: MP-MIP	Mycobacterium intracellulare MP-MIP genomic lineage	lineage_wording_required	M. paraintracellulare/M. indicus pranii-associated genomic group; M. paraintracellulare is retained only as a historical boundary label	intracellulare_complex_context	Mycobacterium paraintracellulare	Mycobacterium paraintracellulare	99.49990	0.00360	Mycobacterium paraintracellulare	Mycobacterium paraintracellulare	99.47770	0.38060	0.38060	final_analysis_label_after_context_tree_review	true	Mycobacterium intracellulare MP-MIP genomic lineage	GCF_010731935.1	Mycobacterium paraintracellulare	Mycobacterium paraintracellulare	Mycobacterium paraintracellulare	context_supported	100.00
Ma5	rescued_from_mixed_or_failed_original_assembly	M_avium_timonense_boundary	M_avium_hominissuis_adjacent_public_context	M. avium context	Mycobacterium avium public-context group	public_context_supported_anchor_boundary	nearest public genomes are M. avium; hominissuis-adjacent context is descriptive rather than a strict subspecies assignment, and timonense-anchor proximity is retained because the anchor panel does not represent all M. avium subspecies diversity	avium_timonense_context	Mycobacterium avium	Mycobacterium avium subsp. hominissuis	99.67570	0.60530	Mycobacterium timonense	Mycobacterium timonense	99.07340	0.41220	0.41220	final_analysis_label_after_context_tree_review	true	Mycobacterium avium public-context group	GCF_002304065.2	Mycobacterium avium	Mycobacterium avium subsp. hominissuis	Mycobacterium timonense	context_supported	100.00
Ma9	directly_retained_original	M_avium_timonense_boundary	M_avium_hominissuis_adjacent_public_context	M. avium context	Mycobacterium avium public-context group	public_context_supported_anchor_boundary	nearest public genomes are M. avium; hominissuis-adjacent context is descriptive rather than a strict subspecies assignment, and timonense-anchor proximity is retained because the anchor panel does not represent all M. avium subspecies diversity	avium_timonense_context	Mycobacterium avium	Mycobacterium avium subsp. hominissuis	99.90330	0.76350	Mycobacterium timonense	Mycobacterium timonense	98.84970	0.10280	0.10280	final_analysis_label_after_context_tree_review	true	Mycobacterium avium public-context group	GCF_001610435.1	Mycobacterium avium	Mycobacterium avium subsp. hominissuis	Mycobacterium timonense	context_supported	100.00
Mi1	directly_retained_original	M_intracellulare_complex	MI_TMI_lineage	MI: TMI	typical Mycobacterium intracellulare (TMI) genomic lineage	lineage_wording_preferred	typical-MI public/type context; tree confirmation required	intracellulare_complex_context	Mycobacterium intracellulare	Mycobacterium intracellulare	99.99400	1.05880	Mycobacterium intracellulare	Mycobacterium intracellulare ATCC 13950	99.34300	0.69950	0.58620	final_analysis_label_after_context_tree_review	true	typical Mycobacterium intracellulare (TMI) genomic lineage	GCF_055794935.1	Mycobacterium intracellulare	Mycobacterium intracellulare	Mycobacterium intracellulare	context_supported	100.00
Mi15	rescued_from_mixed_or_failed_original_assembly	M_intracellulare_complex	MI_MP_MIP_lineage	MI: MP-MIP	Mycobacterium intracellulare MP-MIP genomic lineage	lineage_wording_required	M. paraintracellulare/M. indicus pranii-associated genomic group; M. paraintracellulare is retained only as a historical boundary label	intracellulare_complex_context	Mycobacterium intracellulare	Mycobacterium intracellulare	99.78290	0.23210	Mycobacterium paraintracellulare	Mycobacterium paraintracellulare	99.51650	0.36850	0.36850	final_analysis_label_after_context_tree_review	true	Mycobacterium intracellulare MP-MIP genomic lineage	GCF_056992195.1	Mycobacterium intracellulare	Mycobacterium intracellulare	Mycobacterium paraintracellulare	context_supported	100.00
Mi18	directly_retained_original	M_avium_timonense_boundary	M_avium_public_group	M. avium context	Mycobacterium avium public-context group	public_context_supported_anchor_boundary	nearest public genomes are M. avium; hominissuis-adjacent context is descriptive rather than a strict subspecies assignment, and timonense-anchor proximity is retained because the anchor panel does not represent all M. avium subspecies diversity	avium_timonense_context	Mycobacterium avium	Mycobacterium avium	99.42590	0.23590	Mycobacterium timonense	Mycobacterium timonense	99.21710	0.41640	0.41640	final_analysis_label_after_context_tree_review	true	Mycobacterium avium public-context group	GCF_020054555.1	Mycobacterium avium	Mycobacterium avium subsp. hominissuis	Mycobacterium timonense	context_supported	
Mi19	rescued_from_mixed_or_failed_original_assembly	M_intracellulare_complex	MI_MP_MIP_lineage	MI: MP-MIP	Mycobacterium intracellulare MP-MIP genomic lineage	lineage_wording_required	M. paraintracellulare/M. indicus pranii-associated genomic group; M. paraintracellulare is retained only as a historical boundary label	intracellulare_complex_context	Mycobacterium intracellulare	Mycobacterium intracellulare	99.75290	0.29390	Mycobacterium paraintracellulare	Mycobacterium paraintracellulare	99.45900	0.35380	0.35380	final_analysis_label_after_context_tree_review	true	Mycobacterium intracellulare MP-MIP genomic lineage	GCF_056991875.1	Mycobacterium intracellulare	Mycobacterium intracellulare	Mycobacterium paraintracellulare	context_supported	100.00
Mi2	directly_retained_original	M_intracellulare_complex	MI_TMI_lineage	MI: TMI	typical Mycobacterium intracellulare (TMI) genomic lineage	lineage_wording_preferred	typical-MI public/type context; tree confirmation required	intracellulare_complex_context	Mycobacterium intracellulare	Mycobacterium intracellulare	99.16300	0.18900	Mycobacterium intracellulare	Mycobacterium intracellulare ATCC 13950	99.03030	0.06880	0.06880	final_analysis_label_after_context_tree_review	true	typical Mycobacterium intracellulare (TMI) genomic lineage	GCF_021183765.1	Mycobacterium intracellulare	Mycobacterium intracellulare	Mycobacterium intracellulare	context_supported	100.00
Mi22	directly_retained_original	M_intracellulare_complex	MI_MP_MIP_lineage	MI: MP-MIP	Mycobacterium intracellulare MP-MIP genomic lineage	lineage_wording_required	M. paraintracellulare/M. indicus pranii-associated genomic group; M. paraintracellulare is retained only as a historical boundary label	intracellulare_complex_context	Mycobacterium intracellulare	Mycobacterium intracellulare	99.52130	0.02980	Mycobacterium paraintracellulare	Mycobacterium paraintracellulare	99.36890	0.26530	0.26530	final_analysis_label_after_context_tree_review	true	Mycobacterium intracellulare MP-MIP genomic lineage	GCF_016756015.1	Mycobacterium paraintracellulare	Mycobacterium paraintracellulare	Mycobacterium paraintracellulare	context_supported	100.00
